2024-08-06T01:56:08.743234867Z {"component":"virt-operator","level":"info","msg":"RoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.743168Z"}
2024-08-06T01:56:08.743627360Z {"component":"virt-operator","level":"info","msg":"RoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.743551Z"}
2024-08-06T01:56:08.743993624Z {"component":"virt-operator","level":"info","msg":"RoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.743925Z"}
2024-08-06T01:56:08.744378442Z {"component":"virt-operator","level":"info","msg":"RoleBinding loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:08.744296Z"}
2024-08-06T01:56:09.275259824Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.275090Z"}
2024-08-06T01:56:09.342387350Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.342270Z"}
2024-08-06T01:56:09.381684721Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.381586Z"}
2024-08-06T01:56:09.482989082Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.482853Z"}
2024-08-06T01:56:09.539351435Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.539277Z"}
2024-08-06T01:56:09.540745575Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.540655Z"}
2024-08-06T01:56:09.571547018Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.571451Z"}
2024-08-06T01:56:09.572543244Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.572485Z"}
2024-08-06T01:56:09.576932456Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.576847Z"}
2024-08-06T01:56:09.581465649Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.581381Z"}
2024-08-06T01:56:09.658217630Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.658129Z"}
2024-08-06T01:56:09.658740691Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.658694Z"}
2024-08-06T01:56:09.671634405Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:09.671561Z"}
2024-08-06T01:56:10.248866697Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.248764Z"}
2024-08-06T01:56:10.250854651Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.250812Z"}
2024-08-06T01:56:10.252107584Z {"component":"virt-operator","level":"info","msg":"CustomResourceDefinition loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.252061Z"}
2024-08-06T01:56:10.252481011Z {"component":"virt-operator","level":"info","msg":"Service loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.252441Z"}
2024-08-06T01:56:10.252609905Z {"component":"virt-operator","level":"info","msg":"Service loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.252572Z"}
2024-08-06T01:56:10.252754488Z {"component":"virt-operator","level":"info","msg":"Service loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.252717Z"}
2024-08-06T01:56:10.252879345Z {"component":"virt-operator","level":"info","msg":"Service loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.252843Z"}
2024-08-06T01:56:10.252992679Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.252957Z"}
2024-08-06T01:56:10.253057903Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253029Z"}
2024-08-06T01:56:10.253126673Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253094Z"}
2024-08-06T01:56:10.253187538Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253160Z"}
2024-08-06T01:56:10.253262731Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253227Z"}
2024-08-06T01:56:10.253329367Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253298Z"}
2024-08-06T01:56:10.253392627Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253362Z"}
2024-08-06T01:56:10.253456568Z {"component":"virt-operator","level":"info","msg":"Secret loaded","pos":"strategy.go:799","timestamp":"2024-08-06T01:56:10.253428Z"}
